REFCODE,LCD,PLD,volume,Kh(molec./uc*atm) CH4,Kh(mmol/gratm) CH4,Global_enermax(kJ/mol)CH4,enermaxKJ/mol)CH4,Enermin(kJ/mol)CH4,Ener_dif(kJ/mol)CH4,Kh(molec./uc*atm)H2,Kh(mmol/gratm)H2,Global_enermax(kJ/mol)H2,enermaxKJ/mol)H2,Enermin(kJ/mol)H2,Ener_dif(kJ/mol)H2
LIT,3.124,1.71,1248.138383424,1E-07,1E-07,1180.112793,1004.8778687,7.3203068,997.5575562,0.004826,0.0032045,55.4293785,47.9033623,-8.4890499,56.3924141
LOS,6.237,2.382,1423.22864503614,1.7454317,1.2104053,219.8340759,206.7077179,-18.9813404,225.6890564,0.0360752,0.0250171,2.1381817,1.3687314,-6.2778387,7.6465702
LOV,5.091,3.63,1071.117686444,1.2226417,1.1304875,-13.4504213,-13.4509506,-22.7138538,9.2629042,0.0267688,0.0247512,-4.8503289,-5.4064569,-6.2688646,0.8624075
LTA,10.991,4.152,1693.243664559,1.4375397,0.9968911,-4.3970504,-11.3980885,-14.9086952,3.5106063,0.0435461,0.0301979,-0.8562081,-2.7052524,-4.7608604,2.0556083
LTF,8.08,7.435,6394.27582553353,4.8004376,0.7397676,-7.5478306,-7.5855956,-7.7180042,0.1324083,0.1412418,0.021766,-1.4890597,-1.4979669,-1.5256896,0.0277227
LTL,9.952,7.438,2153.07082923992,0.4991578,0.2307674,-4.2249961,-4.8028111,-5.8755083,1.072697,0.0348439,0.0161088,-0.8233864,-0.9415915,-1.1662209,0.2246294
LTN,10.032,1.913,45201.713461848,61.3758591,1.330049,802.2798462,526.399353,-20.921751,547.321106,1.0337828,0.0224026,32.0801048,19.7522087,-6.6590033,26.411211
MAR,6.286,2.291,4052.0205758138,6.5095652,1.5047277,343.1550598,343.1550293,-19.5210991,362.6761169,0.0949651,0.0219518,7.9964509,7.9964232,-6.4694533,14.4658766
MAZ,8.014,7.441,2161.84583855465,1.6634321,0.7690272,-7.6252131,-7.663465,-7.7935071,0.130042,0.0479641,0.0221744,-1.5045772,-1.5138319,-1.540886,0.0270543
MEI,8.002,6.844,2317.89793092565,0.9052401,0.4431228,-5.8245912,-6.3533797,-7.7551036,1.401724,0.0542173,0.0265398,-1.143738,-1.2553908,-1.5562114,0.3008205
MEL,7.588,5.084,5529.9383611,3.4824332,0.6037398,-9.3415375,-11.7665939,-17.1274757,5.3608813,0.1034487,0.0179346,-1.8539575,-2.4519672,-3.7620919,1.3101245
MEP,5.428,1.759,2574.169377625,11.2375619,4.065868,1188.5166016,1182.8138428,-22.1609402,1204.9748535,0.0723884,0.0261909,59.9466896,59.9466629,-6.9335103,66.8801727
MER,6.592,4.141,1954.329977376,1.6573833,0.8620099,-12.3494625,-13.7725353,-23.0776348,9.3050995,0.0511895,0.0266238,-2.5083435,-3.1727083,-5.800705,2.6279964
MFI,6.206,4.525,5211.28163164,4.1735702,0.7235603,-11.9306936,-13.9525452,-19.4645882,5.512043,0.09454,0.0163901,-2.4206643,-3.0915449,-4.6658177,1.5742729
MFS,6.737,5.295,2063.781454944,1.0415816,0.4815373,-10.8400278,-13.1917915,-16.1909485,2.9991567,0.0424349,0.0196182,-2.1746333,-2.7762458,-3.506186,0.7299401
MON,4.173,3.352,906.624579025,0.4603247,0.4788322,-7.3829479,-8.8018293,-21.6835423,12.8817129,0.0234989,0.0244437,-5.889504,-6.2179022,-6.8721495,0.6542474
MOR,6.589,6.287,2827.259765568,2.6576592,0.9215031,-9.4551382,-9.5197535,-9.8119459,0.2921929,0.0599057,0.0207714,-1.8911401,-1.9090821,-1.9752256,0.0661435
MOZ,9.973,7.478,6366.48861818535,2.9036445,0.4474638,-4.1663346,-4.7066131,-5.7746773,1.0680643,0.115973,0.0178719,-0.8119224,-0.9219701,-1.1456916,0.2237215
MRE,6.205,5.476,2442.523548276,1.4171273,0.4913673,-14.9143419,-15.152936,-16.003685,0.8507503,0.0283404,0.0098266,-3.0606556,-3.1397882,-3.3748844,0.2350962
MSE,6.998,6.433,6843.764819412,2.8237684,0.4196133,-8.9025202,-9.1217976,-10.9933805,1.8715829,0.1388655,0.0206355,-1.7757493,-1.8270333,-2.2182124,0.3911791
MSO,7.17,1.941,5048.40632083466,2.5163319,0.4653328,624.4518433,581.4110107,-18.2077141,599.6187134,0.0850478,0.0157275,25.1736774,23.1633453,-9.2205677,32.3839149
MTF,6.169,3.896,2121.45464199827,1.683007,0.636608,-13.922677,-15.4577837,-21.6234417,6.1656575,0.0308205,0.011658,-2.8320351,-4.1856656,-6.236227,2.0505612
MTN,7.382,2.41,7919.869039237,36.0085054,4.4066057,209.566864,209.5634155,-18.1040401,227.6674652,0.2318827,0.0283771,1.6274962,1.6268224,-6.0528736,7.6796956
MTT,6.054,5.012,1318.209551424,0.6343299,0.439889,-14.0427361,-14.6409817,-16.1596146,1.518633,0.0204381,0.0141732,-2.8904488,-3.1118412,-3.5275984,0.415757
MTW,5.997,5.59,1535.76197447354,0.5843162,0.3473195,-11.8492413,-11.9473095,-13.0064287,1.0591196,0.0260996,0.0155137,-2.4183443,-2.4462764,-2.7068944,0.2606178
MWW,6.104,4.825,4518.74975577976,2.8699382,0.6634045,-13.5219994,-14.6706038,-16.7120876,2.0414834,0.1006557,0.0232672,-2.7581072,-3.1766882,-3.7440934,0.5674052
NAB,4.247,3.445,621.537495808,0.1596728,0.265748,-9.1206865,-10.436121,-20.6153202,10.1791992,0.0159537,0.0265521,-5.6671305,-5.7534866,-6.141438,0.3879514
NAT,4.441,4.218,1231.50045,1.1611109,0.9662352,-18.964201,-19.0208111,-19.5126896,0.4918793,0.0324668,0.0270177,-4.7985568,-4.8275824,-4.9769311,0.1493489
NES,6.978,5,8271.1375344,3.3824972,0.4139393,-9.6635723,-12.4951963,-16.0956459,3.6004496,0.1662704,0.0203476,-1.9599836,-2.6498263,-3.6119559,0.9621297
NON,6.428,2.141,4987.71932232,3.0470115,0.5762748,364.429657,343.3872986,-18.8382416,362.2255554,0.1025948,0.0194035,9.3796196,9.2410765,-6.6020446,15.8431206
NPO,4.151,3.647,320.672150806069,0.0606288,0.168177,-17.1213207,-17.3123741,-20.2629642,2.9505894,0.0044101,0.0122331,-5.9989524,-5.9989734,-6.1719284,0.1729551
NSI,4.086,3.134,638.93953047195,0.1972394,0.2735593,17.8634472,-3.8631475,-22.1215744,18.2584267,0.0116241,0.016122,-6.1251879,-6.1420898,-7.6241002,1.4820106
OBW,9.201,4.976,5971.379770224,1.9913017,0.4360757,-4.7770271,-8.7535095,-12.4551945,3.7016847,0.152069,0.0333016,-0.9333182,-1.8347776,-2.8040013,0.9692238
OFF,6.861,6.439,1117.95781900035,0.8592459,0.7944819,-9.6830778,-9.7654982,-10.5842428,0.8187449,0.0256164,0.0236856,-1.9375952,-1.9572558,-2.1342499,0.1769941
OSI,6.588,6.22,1804.142685648,0.4773974,0.2482958,-10.3263712,-10.3264112,-10.4860296,0.1596181,0.0280679,0.0145982,-2.0810761,-2.0822668,-2.1204119,0.0381451
OSO,6.007,5.805,675.694624809071,0.2088904,0.3862913,-9.444788,-9.4448137,-9.6539392,0.2091254,0.0167402,0.030957,-1.9346792,-1.9347544,-1.9860657,0.0513113
OWE,5.694,3.463,934.0408044,0.9938594,1.0338178,-4.4672232,-12.905797,-19.3050594,6.3992634,0.0224351,0.0233371,-3.334126,-5.0755382,-7.0809088,2.0053706
PAR,4.519,3.428,1756.35569026659,0.4494331,0.2417999,-7.4048352,-9.477293,-18.6147366,9.1374426,0.0274179,0.0147511,-4.0200071,-4.4276218,-5.7958121,1.3681905
PAU,10.422,4.01,42282.401368472,37.273199,0.9231229,-4.7797604,-11.0772896,-23.0379467,11.9606571,1.1375169,0.0281722,-0.9315222,-2.6737032,-6.0832677,3.4095647
PHI,5.283,3.576,1953.69971616,1.729415,0.8994737,-12.2123604,-12.606842,-22.6022606,9.9954185,0.0527454,0.027433,-3.4778414,-4.6058612,-6.6833,2.0774391
PON,4.834,4.134,1320.566161262,1.1842284,0.8212273,-17.8899956,-18.6486702,-19.6674385,1.0187682,0.0254659,0.0176598,-4.2791061,-4.5504255,-5.1201401,0.5697147
RHO,10.371,4.001,3320.619713559,2.7480957,0.9528606,-4.8393717,-11.1065178,-22.9157085,11.8091898,0.0863391,0.0299368,-0.943231,-2.690882,-6.0745702,3.3836882
RON,5.677,4.667,3077.658324,1.1336206,0.3230751,-13.4041481,-14.505825,-15.5188932,1.0130682,0.0348863,0.0099424,-2.9356196,-3.3765836,-3.6891799,0.3125962
RRO,4.353,3.941,1007.69988986579,0.5303733,0.4903975,-16.7565231,-18.0168495,-19.6974335,1.6805845,0.0220744,0.0204105,-4.7710633,-4.836729,-5.6839666,0.8472376
RSN,4.183,3.633,2142.1390818036,1.7104393,0.7907592,-13.1509943,-13.151022,-20.3422928,7.1912704,0.0523566,0.0242052,-4.8192739,-5.3719645,-6.2920966,0.9201323
RTE,6.999,3.918,1398.57936128248,1.1812693,0.8191753,-11.9853439,-14.7780666,-19.0412121,4.263145,0.0307573,0.0213293,-2.3987079,-3.773833,-5.5800757,1.8062429
RTH,8.119,4.077,1988.84005903509,1.0744102,0.5588038,-8.0402813,-13.7199373,-17.4441605,3.7242227,0.0444627,0.0231252,-1.5817367,-3.2913268,-4.9902554,1.6989287
RUT,5.852,2.303,1985.62902234296,2.7924288,1.2909781,236.2553406,232.2807922,-20.2233391,252.5041351,0.0438272,0.0202619,3.328248,2.1019175,-6.9376054,9.0395231
RWR,4.314,3.126,1666.5349446,1.7598152,0.915285,8.0842009,8.0841112,-23.0514431,31.1355553,0.0330497,0.0171893,-5.783793,-5.976696,-7.2258,1.2491039
RWY,14.344,6.071,5603.709294728,0.6869573,0.238192,-1.2574232,-4.0424581,-7.3679547,3.3254967,0.1407881,0.0488161,-0.24382,-0.8134965,-1.5238831,0.7103867
SAO,8.51,6.689,3948.06292106,1.0694758,0.3178496,-5.2710319,-6.953166,-8.4535351,1.5003685,0.0909428,0.0270283,-1.0323945,-1.3802512,-1.6984322,0.318181
