REFCODE,LCD,PLD,volume,Kh(molec./uc*atm) CH4,Kh(mmol/gratm) CH4,Global_enermax(kJ/mol)CH4,enermaxKJ/mol)CH4,Enermin(kJ/mol)CH4,Ener_dif(kJ/mol)CH4,Kh(molec./uc*atm)H2,Kh(mmol/gratm)H2,Global_enermax(kJ/mol)H2,enermaxKJ/mol)H2,Enermin(kJ/mol)H2,Ener_dif(kJ/mol)H2
TON,5.624,5.028,1322.73237096,0.7101609,0.4924756,-14.8485966,-14.9862452,-16.7393589,1.7531139,0.0206952,0.0143515,-3.1456661,-3.249109,-3.6529429,0.4038339
TSC,16.39,4.022,29053.359278488,14.8270357,0.6426272,-1.2210695,-9.621007,-14.7977428,5.1767359,0.685089,0.0296928,-0.2366522,-2.4385948,-4.8411264,2.4025316
TUN,8.393,5.326,10904.1684375136,6.9825036,0.60527,-6.2156262,-9.1593084,-15.3190279,6.1597199,0.2069278,0.0179373,-1.2174975,-1.8910739,-3.2614625,1.3703884
UEI,5.491,3.7,2749.02773922,2.185565,0.7578113,-13.2762213,-14.0581036,-22.4342461,8.3761425,0.0541362,0.0187709,-3.663785,-4.960228,-6.8378034,1.8775756
UFI,10.03,3.829,4209.9394375,4.4751537,1.163768,-4.5978556,-11.9880953,-14.7878256,2.7997303,0.1063718,0.0276621,-0.8955712,-3.126092,-4.9125371,1.7864454
UOS,5.763,4.135,1362.04198284,1.0108418,0.7009889,-15.2760553,-16.0821419,-19.8771725,3.7950308,0.0271184,0.0188058,-3.2408075,-3.9724109,-5.2600279,1.2876167
UOZ,5.291,1.328,2047.115279704,3.0861135,1.2840765,83144.6953125,83144.6953125,-22.876009,83167.578125,0.0392959,0.0163503,83144.6953125,83144.6953125,-7.0233436,83151.7265625
USI,6.634,6.111,2514.5234718223,1.1150095,0.4639354,-8.4382048,-8.5948496,-10.5311441,1.9362941,0.0542353,0.0225663,-1.6921457,-1.7272044,-2.1405494,0.4133449
UTL,9.21,7.505,4872.2860783516,1.4034312,0.3073378,-4.5253663,-5.0485821,-7.000247,1.9516649,0.0954399,0.0209004,-0.8834876,-0.9905041,-1.3834473,0.3929431
VET,6.259,5.796,842.398504192,0.2506603,0.2454006,-11.963975,-12.070241,-12.4907751,0.4205333,0.0095873,0.0093862,-2.4200726,-2.452693,-2.5573926,0.1046997
VFI,11.939,11.333,2486.6557128433,0.2467868,0.1140928,-2.2434714,-2.2487113,-2.2675335,0.0188222,0.0451345,0.0208663,-0.4355212,-0.4365136,-0.4402263,0.0037127
VNI,4.69,2.99,3415.465776564,1.6054774,0.4453398,25.8626671,9.5052071,-20.5479469,30.053154,0.070725,0.0196182,-4.7249265,-5.2631001,-7.1581626,1.8950628
VSV,4.247,3.641,2142.659194912,0.9161502,0.423549,-13.3484335,-13.4396505,-20.3544998,6.9148498,0.0511365,0.0236411,-4.8114858,-5.3688879,-6.2979517,0.9290639
WEI,4.086,3.364,1211.777916426,0.447441,0.3723444,-6.5526319,-8.6468544,-20.0057487,11.3588943,0.031312,0.0260567,-4.847611,-4.9804792,-7.0616145,2.0811355
WEN,5.456,4.634,1208.16765521833,0.9133124,0.7702817,-15.3029013,-15.4678345,-17.6110477,2.143213,0.0272627,0.0229932,-3.302592,-3.4593387,-4.066123,0.6067845
YUG,4.401,3.043,891.336238429569,0.6449574,0.6708881,17.777504,17.7758446,-20.8189068,38.5947533,0.0208697,0.0217087,-5.0579629,-5.3731165,-7.7462263,2.3731098
ZON,5.686,3.419,1773.07869576,2.4070916,1.2519353,-5.0211177,-6.1358924,-20.1013069,13.965414,0.0387951,0.0201774,-3.6968496,-4.9530916,-6.4051318,1.4520402
